index,product,category,sub_category,brand,sale_price,market_price,type,rating,description,rating_clean
31,Fruit Power - Masala Sugarcane,Beverages,Fruit Juices & Drinks,Real,19.0,20.0,Juices,2.9,"Sugarcane and Spicy Masala, a love story that has been part of every Indian home across generations. Real Masala Sugarcane is one of the 1st in India offering the benefits of your age-old sugarcane juice with a sprinkling of traditional Indian masala in the hygienic Tetra pack format. So relish every drop of our new Masala Sugarcane beverage that promises to refresh you with every gulp. Savour the natural sugarcane goodness brought to your home by Real.",2.9
34,Green Tea - Tulsi Loose Leaf,Beverages,Tea,Octavius,225.0,225.0,Green Tea,3.7,"Octavius Tulsi Green Tea, is a unique combination where both the herbs help in refreshing and energizing the body and mind. It promotes metabolism which is vital for weight management. Green tea and Tulsi offer a vast array of remarkable health benefits including an abundance of antioxidants.",3.7
107,Aamras Mango Fruit Juice,Beverages,Fruit Juices & Drinks,Paper Boat,243.0,360.0,Juices,,"The one treasure that easily transforms Indian summer into a festivity that it is, is Aamras. An honest treat for an honest day’s work. A silkesque ale cascading down your throat - Soothing, serenading and more importantly, lingering. Sometimes enveloped in rotis, sometimes guzzled with milk but the best way to go about Aamras is to have it directly as is. The way the ancients intended. Without preservatives or artificial flavour. Without frills or hassles.
 Ah! One just cannot help but submit to the tasty tyranny of the one true king of the fruit realm. All hail the mango! Long live the king!",
117,Spiced Tea - Blend Of 7 Refreshing Spices,Beverages,Tea,Wagh Bakri,150.0,150.0,Leaf & Dust Tea,4.3,"Rejuvenate yourself with this refreshing spice tea made from rich premium fresh leaves and seven authentic Indian spices. The name Wagh Bakri is one of the most trusted name in Indian household. It is especially famous among the tea lovers. A Unique Blend of 7 Refreshing Spices. This tea is flavoured with clove, ginger, black pepper, cinnamon, nutmeg, lemon grass, piper longum.",4.3
171,BCAA Energy Drink - Berry Flavour,Beverages,Energy & Soft Drinks,NOCD,110.0,110.0,Sports & Energy Drinks,4.0,"NOCD provides a comprehensive
formula for stronger immune system, stronger
muscles, active brain and quality skin and hair
The presence of BCAA and different vitamins and
minerals along with effective levels of
antioxidants provides a complete synergistic
immune therapy to the body These elements of
the drink help protect against the damage caused
by free radicals Other nutrients like biotin, folic
acid protect DNA and cells from within It has
goodness of green coffee bean extract and l
carnetine which helps in weight management",4.0
321,Soft Drink - Lime Flavoured,Beverages,Energy & Soft Drinks,Sprite,38.0,40.0,Cold Drinks,4.3,"Sprite is a clear lime drink truly meant to quench your thirst & refresh you since 1999. Now, do not confuse thirst with anything else under the sky! Its not your agony aunt but just a drink that refreshes you. Be it summers or winters, Sprite will always keep you refreshed. It has true feelings for your thirst. Believe it!
Its crisp lemon-lime taste makes you feel like you have just stepped out of a cold shower. Clear Hai? 
You can not drink this refreshing Sprite by just looking at the page so Buy Now!",4.3
330,Tea - English Breakfast,Beverages,Tea,Typhoo,166.0,195.0,Tea Bags,4.5,"Typhoo English Breakfast tea is a traditional and unique blend of Assam orthodox and CTC teas. Created by our master blenders, this tea is famous world over for its rich taste, bright liquor with strengh& aroma to match. This malty, classic tea with oaky undertones is the perfect companion with breakfast and a refershing delight to enjoy, any time of the day.",4.5
379,Amla Juice,Beverages,Fruit Juices & Drinks,Patanjali,220.0,220.0,Juices,,Patanjali Amla Juice is rich in antioxidants and vitamin C. Amla or Indian gooseberry has several health benefits; it is used as skin & hair treatment and improves your immunity and eyesight. This amla juice is absolutely natural and should be taken on an empty stomach.,
383,Sugar Free Juice - Lemon Ginger Squash,Beverages,Fruit Juices & Drinks,Diabetics Dezire,330.0,330.0,Juices,,"Made from pure lemon juice, fresh ginger &Â Levulose. Direction for use : Add 1 measure of Diabetics Dezire natural lemon squash concentrate to 4 measures of chilled water, enjoy without guilt. For every 20 ml it contains 50 Kcal of energy per serving, 0.10 g of Protein & Fibre, 12 g of Carbohydrates.",
386,Black Tea,Beverages,Tea,Tetley,155.0,155.0,Tea Bags,4.3,"Featuring the finest grade Assam teas, selected by our expert tea masters working their magic for that unique taste you love.",4.3
444,DiaFree Juice,Beverages,Fruit Juices & Drinks,Kapiva Ayurveda,420.0,420.0,Juices,,"CONTROLS BLOOD SUGAR: Karela, Amla and Jamun are traditional remedies that have proven to bring down blood sugar levels. Karela also is known as Bitter gourd contains an insulin-like compound called Polypeptide-p or p-insulin which has been researched to control diabetes naturally. Diabetic patients can benefit from this powerful combination of Indian origin and notice greater energy levels, lower blood sugar levels, lower cholesterol levels.LOWERS CHOLESTEROL: Karela ka juice is anti-inflammatory and helps in reducing the bad cholesterol levels in the body. Which means a healthier heart! It’s packed with various nutrients. Potassium absorbs excessive sodium from the body, which helps in maintaining the blood pressure of the body. Iron and folic acid, present in Karela are known to decrease the risk of stroke and keep your heart healthy.DETOXIFIES THE LIVER: Our Dia free juice with Karela in the mix cleanses your bowel as well as heals your liver.DOSAGE: Take 30ml of juice with equal parts water twice a day to help fight diabetes.",
502,Nutrition & Health Drink - Pista Badam,Beverages,"Health Drink, Supplement",Complan,315.0,315.0,Kids (5+Yrs),4.4,"Complan is a scientifically developed nutrition and health drink with clinically proven formula to give kids’ 2 times faster growth. This milk protein-based formula also supports immune function, helps brain development & functioning. Serve Complan to your kid two times a day as part of their daily balanced diet and help your children grow 2 times faster. Available in 4 delicious flavours - Royale Chocolate, Creamy Classic, Kesar Badam and Pista Badam.Complan is a nutrition and health drink with clinically proven formula to deliver 2 times faster growthContains 100% First Class ProteinContains 34 Vital NutrientsNutrients like Vitamin A, E &C supports immune functionNutrients like Iodine, Iron, Vitamin B12 and Folic Acid helps Brain development and it’s functioningNutrients like Sodium, Potassium & Chloride maintains fluid balance in the bodyCan be consumed with milk or water",4.4
563,"Green Tea - Mint, Good morning",Beverages,Tea,Wagh Bakri,75.0,150.0,Green Tea,4.5,Improves & stimulates Digestion.Mint is Popular for its cool flavour & subtle aroma.it is one of the oldest herbs & is also blessed with medicinal properties.,4.5
575,Darjeeling White Teabags - Reeti,Beverages,Tea,Teamonk,525.0,875.0,Exotic & Flavoured Tea,,"If belonging to nature was a virtue, Reeti White Tea would be the unambiguous winner. Of nature, for nature and completely true to its nature, this tea is the right name for Natural Propensity in Sanskrit. The delicate 'Pak ho' buds are plucked by thin nimble fingers to produce this exquisite white tea. The processing enriches it with the goodness of nature, combined with sun-drying and pan-frying, giving a tea that brims with vitality.",
579,Quick Chai Masala,Beverages,Tea,Tata Tea,109.2,140.0,Leaf & Dust Tea,3.5,"There’s tea, and then there’s chai- that fresh, ghar-waali, full-on taste you only get when tea’s been boiled! Enjoy Tata Tea Quick Chai that is made just the way you would at home - boiled with milk & sugar before converting it to powder. This instant tea mix comes in a delicious natural masala flavour, just add hot water and have a pleasant evening! Masala chai made with the perfect blend of spices- Nutmeg, Ginger and Clove, it’s ready in a jiffy and tastes the same. Because when it comes to chai, we know you wouldn’t have it any other way!",3.5
617,Fruit Power Juice- Mixed Berries,Beverages,Fruit Juices & Drinks,Real,96.8,110.0,Juices,,"The preparation of Real fruit power begins with sourcing the freshest and the juiciest fruit from the finest orchards in the world so you could relish the real fruit goodness and unmatched taste. Presenting Real Mixed Berries, packed with the goodness of 6 superfruits - red grapes, cranberries, raspberries, strawberries, sea buckthorns and blueberries. With the antioxidants and essential nutrients like vitamins and minerals, berries help the immunity and breath health of kids. Every glass of 200 ml Real Mixed Berries contains the goodness of 1 full bowl of mixed berries, making it berry- berry healthy and berry-berry tasty.",
